card_id	deck	kind	source_chapter	prompt_language	answer_language	prompt	accepted_answers	distractors	explanation	lexical_ids	grammar_ids	geographic_ids	provenance_path	provenance_locator	provenance_evidence	examples	tags
th-core-review-001-005/th-greeting-sawatdi-hello/target-to-source	Chapter 1-5	vocabulary	1	th	en	สวัสดี	["hello"]	[]	สวัสดี reviews the canonical hello sense first introduced in Chapter 1.	["th.greeting.sawatdi","th.greeting.sawatdi.hello"]	[]	[]	units/thai-core/chapter-001-a-polite-meeting/chapter.md	Dialogue > line 1	สวัสดีค่ะ.	["สวัสดีค่ะ."]	["thai","review-deck","chapter-001-005","vocabulary","target-to-source"]
th-core-review-001-005/th-greeting-sawatdi-hello/source-to-target	Chapter 1-5	vocabulary	1	en	th	hello	["สวัสดี"]	[]	สวัสดี reviews the canonical hello sense first introduced in Chapter 1.	["th.greeting.sawatdi","th.greeting.sawatdi.hello"]	[]	[]	units/thai-core/chapter-001-a-polite-meeting/chapter.md	Dialogue > line 1	สวัสดีค่ะ.	["สวัสดีค่ะ."]	["thai","review-deck","chapter-001-005","vocabulary","source-to-target"]
th-core-review-001-005/th-particle-kha-f-polite-particle-female-statement/target-to-source	Chapter 1-5	vocabulary	1	th	en	ค่ะ	["polite particle (female statement)"]	[]	ค่ะ reviews the canonical polite particle (female statement) sense first introduced in Chapter 1.	["th.particle.kha-f","th.particle.kha-f.polite-particle-female-statement"]	[]	[]	units/thai-core/chapter-001-a-polite-meeting/chapter.md	Dialogue > line 1	สวัสดีค่ะ.	["สวัสดีค่ะ."]	["thai","review-deck","chapter-001-005","vocabulary","target-to-source"]
th-core-review-001-005/th-particle-kha-f-polite-particle-female-statement/source-to-target	Chapter 1-5	vocabulary	1	en	th	polite particle (female statement)	["ค่ะ"]	[]	ค่ะ reviews the canonical polite particle (female statement) sense first introduced in Chapter 1.	["th.particle.kha-f","th.particle.kha-f.polite-particle-female-statement"]	[]	[]	units/thai-core/chapter-001-a-polite-meeting/chapter.md	Dialogue > line 1	สวัสดีค่ะ.	["สวัสดีค่ะ."]	["thai","review-deck","chapter-001-005","vocabulary","source-to-target"]
th-core-review-001-005/th-particle-khrap-polite-particle-male/target-to-source	Chapter 1-5	vocabulary	1	th	en	ครับ	["polite particle (male)"]	[]	ครับ reviews the canonical polite particle (male) sense first introduced in Chapter 1.	["th.particle.khrap","th.particle.khrap.polite-particle-male"]	[]	[]	units/thai-core/chapter-001-a-polite-meeting/chapter.md	Dialogue > line 2	สวัสดีครับ.	["สวัสดีครับ."]	["thai","review-deck","chapter-001-005","vocabulary","target-to-source"]
th-core-review-001-005/th-particle-khrap-polite-particle-male/source-to-target	Chapter 1-5	vocabulary	1	en	th	polite particle (male)	["ครับ"]	[]	ครับ reviews the canonical polite particle (male) sense first introduced in Chapter 1.	["th.particle.khrap","th.particle.khrap.polite-particle-male"]	[]	[]	units/thai-core/chapter-001-a-polite-meeting/chapter.md	Dialogue > line 2	สวัสดีครับ.	["สวัสดีครับ."]	["thai","review-deck","chapter-001-005","vocabulary","source-to-target"]
th-core-review-001-005/th-noun-chue-name-be-named/target-to-source	Chapter 1-5	vocabulary	1	th	en	ชื่อ	["name; be named"]	[]	ชื่อ reviews the canonical name; be named sense first introduced in Chapter 1.	["th.noun.chue","th.noun.chue.name-be-named"]	[]	[]	units/thai-core/chapter-001-a-polite-meeting/chapter.md	Dialogue > line 3	ชื่อมาลีค่ะ.	["ชื่อมาลีค่ะ."]	["thai","review-deck","chapter-001-005","vocabulary","target-to-source"]
th-core-review-001-005/th-noun-chue-name-be-named/source-to-target	Chapter 1-5	vocabulary	1	en	th	name; be named	["ชื่อ"]	[]	ชื่อ reviews the canonical name; be named sense first introduced in Chapter 1.	["th.noun.chue","th.noun.chue.name-be-named"]	[]	[]	units/thai-core/chapter-001-a-polite-meeting/chapter.md	Dialogue > line 3	ชื่อมาลีค่ะ.	["ชื่อมาลีค่ะ."]	["thai","review-deck","chapter-001-005","vocabulary","source-to-target"]
th-core-review-001-005/th-verb-pen-be-be-a/target-to-source	Chapter 1-5	vocabulary	1	th	en	เป็น	["be; be a"]	[]	เป็น reviews the canonical be; be a sense first introduced in Chapter 1.	["th.verb.pen","th.verb.pen.be-be-a"]	[]	[]	units/thai-core/chapter-001-a-polite-meeting/chapter.md	Dialogue > line 5	เป็นนักเรียนค่ะ.	["เป็นนักเรียนค่ะ."]	["thai","review-deck","chapter-001-005","vocabulary","target-to-source"]
th-core-review-001-005/th-verb-pen-be-be-a/source-to-target	Chapter 1-5	vocabulary	1	en	th	be; be a	["เป็น"]	[]	เป็น reviews the canonical be; be a sense first introduced in Chapter 1.	["th.verb.pen","th.verb.pen.be-be-a"]	[]	[]	units/thai-core/chapter-001-a-polite-meeting/chapter.md	Dialogue > line 5	เป็นนักเรียนค่ะ.	["เป็นนักเรียนค่ะ."]	["thai","review-deck","chapter-001-005","vocabulary","source-to-target"]
